,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
0,6,512,658.4+-32.2,-4.54,1.0,626.1999999999999,690.6,['ANTI-MOTIF']
1,12,1177,1189.8+-28.9,-0.44,0.675,1160.8999999999999,1218.7,['NA']
2,14,98,144.3+-14.0,-3.3,1.0,130.3,158.3,['ANTI-MOTIF']
3,36,7797,7923.8+-41.1,-3.08,1.0,7882.7,7964.900000000001,['ANTI-MOTIF']
4,38,2038,1939.2+-36.7,2.69,0.0,1902.5,1975.9,['MOTIF']
5,46,148,120.0+-9.0,3.12,0.005,111.0,129.0,['MOTIF']
6,74,1519,1604.7+-31.8,-2.7,1.0,1572.9,1636.5,['ANTI-MOTIF']
7,78,59,91.7+-8.7,-3.76,1.0,83.0,100.4,['ANTI-MOTIF']
8,98,17,39.0+-6.2,-3.57,1.0,32.8,45.2,['ANTI-MOTIF']
9,102,138,158.0+-11.0,-1.82,0.965,147.0,169.0,['ANTI-MOTIF']
10,108,1135,1087.3+-18.1,2.63,0.005,1069.2,1105.3999999999999,['MOTIF']
11,110,226,215.7+-11.7,0.88,0.175,204.0,227.39999999999998,['NA']
12,238,67,59.5+-3.8,1.95,0.035,55.7,63.3,['MOTIF']
